Catálogo UNICO
Homologación entre los catálogos de SESA y OCRA


ID OCRA	ID SESA	Marca	Descripción 2014	Segmento, Clase	Clasificación
MERCEDES BENZ Y FREIGHLINER
4 X 2 CAJA MUDANCERA	6	CAMION
335	7329
MERCEDES BENZ Y FREIGHLINER
4 X 2 CAJA MUDANCERA	7	CAMION
336	7325
MERCEDES BENZ Y FREIGHLINER
4 X 2 TANQUE	6	CAMION
338	241	MERCEDES BENZ	CLASE C	LUJO	AUTOMOVILES
341	245	MERCEDES BENZ	CLASE S	LUJO	AUTOMOVILES
344	469	MERCEDES BENZ	CLASE SL	LUJO	AUTOMOVILES
348	244	MERCEDES BENZ	CLASE E	LUJO	AUTOMOVILES
354	242	MERCEDES BENZ	CLASE CL	LUJO	AUTOMOVILES
357	247	MERCEDES BENZ	CLASE ML	MULTIUSOS	AUTOMOVILES
358	78	MERCEDES BENZ	CLASE A	LUJO	AUTOMOVILES
360	246	MERCEDES BENZ	CLASE G	MULTIUSOS	AUTOMOVILES
363	470	MERCEDES BENZ	CLASE SLK	LUJO	AUTOMOVILES
367	343	MERCEDES BENZ	SMART	SUBCOMPACTO	AUTOMOVILES
373	466	MERCEDES BENZ	CLASE CLK	LUJO	AUTOMOVILES
374	301	MERCEDES BENZ	SPRINTER PASAJEROS	MULTIUSOS	AUTOMOVILES
384	235	BMW	SERIE 3	LUJO	AUTOMOVILES
389	236	BMW	SERIE 5	LUJO	AUTOMOVILES
393	237	BMW	SERIE 7	LUJO	AUTOMOVILES
407	488	BMW	SERIE M	DEPORTIVO	AUTOMOVILES
412	359	BMW	X5	MULTIUSOS	AUTOMOVILES
414	181	BMW	COOPER	SUBCOMPACTO	AUTOMOVILES
416	239	BMW	X3	MULTIUSOS	AUTOMOVILES
417	79	BMW	SERIE 1	LUJO	AUTOMOVILES
418	300	BMW	SERIE 6	LUJO	AUTOMOVILES
420	80	HONDA	ACCORD	LUJO	AUTOMOVILES
421	99	HONDA	CIVIC	COMPACTO	AUTOMOVILES
422	136	HONDA	ODISSEY	MULTIUSOS	AUTOMOVILES
424	167	HONDA	CRV	MULTIUSOS	AUTOMOVILES
428	7083	HONDA	RID LINE PICK UP	1	COMERCIAL
